season_player_id,year,player_name,team,conf,GP,mins_per_game,3P_pct,3P_per_100_team_pos,AST_TOV,AST_pct,Blk_pct,DRB_pct,FTR,ORB_pct,Stl_pct,TOV_pct,assisted_fg_pct,height_inches,personal_fouls_per_40,rim_assisted_pct,rim_pct,rim_share,stops_per_40,three_assisted_pct,three_share,usg,3P_pct_z,3P_per_100_team_pos_z,AST_TOV_z,AST_pct_z,Blk_pct_z,DRB_pct_z,FTR_z,ORB_pct_z,Stl_pct_z,TOV_pct_z,assisted_fg_pct_z,height_inches_z,personal_fouls_per_40_z,rim_assisted_pct_z,rim_pct_z,rim_share_z,stops_per_40_z,three_assisted_pct_z,three_share_z,usg_z,workload_score,shot_style_score,spacing_score,rim_finishing_score,rebounding_score,defense_score,ballhandling_score,height_score,workload_grade,shot_style_grade,spacing_grade,rim_finishing_grade,rebounding_grade,defense_grade,ballhandling_grade,height_grade
2026::nate bittle::oregon,2026,Nate Bittle,Oregon,B10,25,31.116,0.319,8.72943,1.16363631,19.7,7.0,17.9,40.7,7.9,1.7,15.3,0.796875,84.0,2.0,0.7282608695652174,0.6975,0.3814102564102564,7.666898058876463,0.9722222222222222,0.36217948717948717,27.7,0.31236602596275514,0.5595885594237684,-0.12896815402154702,1.088001978643264,2.0716631337151554,1.0675774702774068,0.1930854867253609,0.6444459342500239,-0.1436871275097838,0.2713956303000578,0.9296596457212952,1.907170810473029,1.197819179863306,1.1376561907013758,0.898045893857712,-0.15072089041715578,0.8994052092193822,0.6155526310866447,-0.08199591395280592,1.8340260953769076,1.1077581001739905,0.38012300435451474,0.31236602596275514,0.5455656902915365,0.8560117022637154,1.006300098822015,0.41014315164059156,1.907170810473029,97.63472323823457,81.15093879541575,54.41355766886126,81.9800048768593,82.23603999024628,96.4642770056084,75.73762496951963,97.72006827603023
2026::isaac johnson::hawaii,2026,Isaac Johnson,Hawaii,BW,31,21.1879,0.325,9.42865,0.57626268,11.5,4.9,19.7,43.6,10.6,1.5,16.5,0.575,84.0,4.9,0.4715447154471545,0.6788,0.46283783783783783,8.897348440961968,0.918918918918919,0.38513513513513514,29.1,0.35336019336637536,0.7177512249289563,-0.8317944092669716,-0.017495608322272788,1.193526271343271,1.4455822366863555,0.3248360466998894,1.3559014464407193,-0.36185110748669,0.08323105213259613,-0.2611619094374909,1.907170810473029,-0.6341223499579836,0.05534598977762945,0.7632306299439436,0.213468643594229,2.0031031495440588,0.28305480391935,0.011817933233025124,2.1140246441537807,0.8568713198817486,0.14092184263105842,0.35336019336637536,0.5440333383219165,1.4007418415635375,0.550163990860664,-0.25535298848554944,1.907170810473029,93.34308705193855,56.937332357961466,56.71787368934407,81.93123628383321,92.53840526700805,86.100950987564,35.11338697878566,97.72006827603023
2026::jayden jackson::cal baptist,2026,Jayden Jackson,Cal Baptist,WAC,28,29.05,0.346,11.361,1.23074165,11.0,1.2,9.8,24.9,2.4,1.2,16.1,0.6086956521739131,76.0,2.4,0.0,0.3659,0.17012448132780084,6.318859109909024,0.7777777777777778,0.6473029045643154,17.7,0.4968397792790457,1.1548463118671886,-0.04867276381281235,-0.08490399777139089,-0.35366724807385924,-0.6334439785628619,-0.524727908997933,-0.8048152942865783,-0.6890970774520495,0.1459525781884165,-0.08031454527375566,-0.5047658154617147,0.9451375895431281,-1.9326771538124257,-1.4925819945810828,-1.095708652812486,-0.3097681415426909,-0.5973619778757414,1.0832303850095386,-0.16596353874361253,0.30285607594994013,-0.6356293498727786,0.4968397792790457,-1.0086549517895078,-0.7191296364247202,-0.10184871938136787,0.0041252722014044245,-0.5047658154617147,69.93416239941477,9.290416971470373,67.66642282370154,6.339917093391856,23.884418434528165,42.89197756644721,52.91392343330895,32.06534991465496
2026::myron amey jr.::loyola marymount,2026,Myron Amey Jr.,Loyola Marymount,WCC,31,30.5375,0.357,13.8266,1.27905939,11.4,0.9,12.1,21.5,1.9,3.0,10.9,0.6030534351145038,74.0,2.9,0.3,0.5595,0.22281167108753316,7.504638664782856,0.7901234567901234,0.6021220159151194,22.9,0.5719957528523495,1.7125618635813729,0.009142184853034524,-0.03097728621209636,-0.47911537126984277,-0.15043788815142775,-0.6791940827611734,-0.936566315062633,1.274378742340107,0.9613324169140844,-0.11059679290521106,-1.1077499719454007,0.6292856016429058,-0.6678831193559941,-0.09684749759148488,-0.8600621709870189,0.7538606495469236,-0.5203515265130506,0.8985876778359053,0.8740310709990579,0.8253320472250733,-0.28742728475503954,0.5719957528523495,-0.3880207901763292,-0.5435021016070304,0.5446024055650234,0.3131657718516742,-1.1077499719454007,92.39209948792977,23.457693245549866,72.48232138502803,25.993660082906604,32.784686661789806,85.85710802243355,70.88514996342356,14.496464277005607
2026::alex williams::duquesne,2026,Alex Williams,Duquesne,A10,30,17.7968,0.398,11.0127,0.79412839,8.9,1.1,16.9,42.1,6.3,1.8,15.3,0.6666666666666666,77.0,3.6,0.40540540540540543,0.5714,0.3230769230769231,7.048480625730468,0.9024390243902439,0.5282051282051282,23.7,0.8521225634437543,1.0760612994312497,-0.5711055848373054,-0.3680192334576869,-0.395483289139187,0.8575748222724352,0.25668920533375394,0.22284266776664863,-0.03460513752133058,0.2713956303000578,0.23082070490041132,-0.20327373721987177,0.18709281858259458,-0.2234960261685991,-0.011055966009996013,-0.41162007361211994,0.3446928395362976,0.1802557505182624,0.5965083106372456,1.0340302417286995,0.7803040820201202,0.03541199034369724,0.8521225634437543,0.12281661966187897,0.5402087450195419,0.02542430786459364,-0.2225763959983115,-0.20327373721987177,90.8071202145818,47.25676664228237,87.67373811265546,58.839307485979035,73.7381126554499,53.9624481833699,37.64935381614241,42.2457937088515
2026::logan stephens::southern utah,2026,Logan Stephens,Southern Utah,WAC,17,9.025,0.2,7.65521,1.04166663,19.5,0.0,12.1,77.6,3.9,3.8,26.6,0.4166666666666667,75.0,3.3,0.375,0.4,0.40816326530612246,7.528551409483461,0.5,0.40816326530612246,30.2,-0.5006849608757117,0.316601375792031,-0.2749118754785059,1.0610386228636168,-0.8554597408577933,-0.15043788815142775,1.8694977843322933,-0.40956223195841407,2.147034662247732,-1.5004874807768742,-1.110950061475685,-0.8062578937035577,0.3766040113227281,-0.35168461074188617,-1.2467423956795056,-0.031066521806771663,0.7753100695786636,-2.3300971335362934,0.10592799664793728,2.3340235039070376,0.5132249394077946,-0.6517300673592534,-0.5006849608757117,0.31137769432639384,-0.2800000600549209,0.6108722505728326,-0.23812024446392108,-0.8062578937035577,81.1753230919288,9.046574006339918,22.494513533284564,70.73884418434528,44.50134113630822,88.3930748597903,36.47890758351622,22.665203608875885
2026::chris hodges::montana st.,2026,Chris Hodges,Montana St.,BSky,29,23.3,0.0,0.0,0.78947368,7.1,4.6,13.4,42.7,8.8,0.8,21.5,0.6451612903225806,81.0,3.4,0.6451612903225806,0.5844,0.6581196581196581,6.579073553352078,,0.0,14.6,-1.867157207663051,-1.4149972892947404,-0.5766752124669174,-0.6106894354745122,1.0680781481472872,0.12256555425503535,0.2839479418802082,0.8815977716469225,-1.1254250374058619,-0.7007880235651613,0.11539956370676868,1.0026945757475,0.3134336137426836,0.7873100170616206,0.08266587521347914,1.0868777990974188,-0.0763591805213978,0.0,-1.5621306123828411,-0.7859603253209737,-0.6951860169696484,0.07801430094404957,-1.867157207663051,0.18330690854684367,0.502081662950979,0.04493188599067778,-0.6293842238355303,1.0026945757475,10.63155327968788,51.42648134601316,7.510363326018045,62.69202633504023,72.81150938795416,55.254815898561326,15.630334064862229,82.95537673738113
2026::matthew mors::south dakota st.,2026,Matthew Mors,South Dakota St.,Sum,29,27.6906,0.315,5.23054,1.25805113,7.9,2.6,11.3,24.1,6.6,2.2,12.8,0.7647058823529411,79.0,3.3,0.6962025316455697,0.7419,0.49732620320855614,7.294993919261037,1.0,0.39037433155080214,14.5,0.28503658102700835,-0.23185586251703452,-0.015995403814373515,-0.5028360123559231,0.2317573268407306,-0.3184400065554047,-0.5610728910598718,0.3018932802322814,0.4017228224324821,0.6634051681489366,0.7570053191655473,0.3997104192638142,0.3766040113227281,1.0024988755168462,1.2181420284978883,0.367719838250513,0.5658120478307401,0.7888261466527,0.03322918561263864,-0.8059602216621788,-0.09360358833788873,0.5480685115081745,0.28503658102700835,0.32853456871900827,-0.008273363161561659,0.39397405210667025,0.04819125065954666,0.3997104192638142,44.52572543282126,92.36771519141674,52.426237503048036,71.64106315532797,54.93782004389174,78.59058766154597,55.791270421848324,62.8871007071446
2026::diego campisano::northern arizona,2026,Diego Campisano,Northern Arizona,BSky,23,17.9462,0.402,12.4214,1.07700002,6.2,0.8,12.7,25.0,4.3,1.7,9.8,0.8163265306122449,78.0,2.7,0.42857142857142855,0.4483,0.2265625,6.020487321283469,0.9714285714285714,0.6796875,18.9,0.879452008379501,1.3947074292575687,-0.23263344670596084,-0.7320245364829246,-0.5209314123351706,-0.02443629934844492,-0.5201847862401906,-0.3041614153375703,-0.1436871275097838,1.1338166135675911,1.0340576262684151,0.0982183410219712,0.7556263968029946,-0.12582853316038065,-0.8985297086722871,-0.843286373280162,-0.5774037433935016,0.6106019592133288,1.2155779228898964,0.07403521735084975,0.8342667576256112,0.21426624391567065,0.879452008379501,-0.7093572474562388,-0.16429885734300761,-0.12159897160886537,0.0563862101262352,0.0982183410219712,92.66032674957327,64.5452328700317,89.20994879297733,12.655449890270665,49.158741770299926,41.25822970007315,56.35210924164837,52.67008046817849
2026::samuel ariyibi::utah tech,2026,Samuel Ariyibi,Utah Tech,WAC,30,9.8844,0.111,1.8013,0.67997952,9.4,2.8,10.1,55.9,10.8,3.2,24.6,0.8181818181818182,80.0,4.9,0.8095238095238095,0.5833,0.6101694915254238,7.348333400779681,1.0,0.15254237288135594,18.7,-1.1087651106960776,-1.0075455439577998,-0.7076912583252297,-0.3006108440085688,0.3153894089713862,-0.5704431841613707,0.8836401459022003,1.4086018547511414,1.4925427223170136,-1.1868798504977711,1.044015108764713,0.7012024975056571,-0.6341223499579836,1.4802591296414374,0.07473556557149286,0.8724179254088781,0.6136568668882406,0.7888261466527,-0.9387290474823552,0.034035424668439486,0.023501663158450852,0.550693538555165,-1.1087651106960776,0.4791878557368466,0.41907933529488534,0.4468666620546642,-0.7317273176105233,0.7012024975056571,51.69470860765667,92.53840526700805,16.605705925384054,79.37088514996343,70.44623262618873,81.1753230919288,12.167763960009752,73.34796391124117
2026::lassina traore::texas,2026,Lassina Traore,Texas,SEC,22,15.6348,0.0,0.169117,0.63638263,6.4,2.1,21.8,113.6,13.9,1.9,24.3,0.6923076923076923,81.0,5.7,0.6923076923076923,0.4815,0.6136363636363636,7.705805464267358,,0.022727272727272728,15.3,-1.867157207663051,-1.3767432412093867,-0.7598574390559628,-0.7050611807032774,0.022677121514091406,1.886587797496796,3.505021977119545,2.2254581835626808,0.0744768524671224,-1.1398387059559056,0.3684382194005239,1.0026945757475,-1.1394855305983391,0.986078310317801,-0.6591785449323354,0.8879237100143458,0.9343046442705747,0.0,-1.4692500761981728,-0.6459610509325371,-0.5514220242471334,0.1011879860334935,-1.867157207663051,1.4229217160936047,2.0560229905297382,-0.027006728086637677,-0.8682524419050486,1.0026945757475,16.28871007071446,53.62106803218727,7.510363326018045,97.41526456961716,97.90295049987809,49.91465496220434,8.19312362838332,82.95537673738113
2026::malik thomas::virginia,2026,Malik Thomas,Virginia,ACC,36,22.6139,0.351,14.1424,1.01853331,13.3,0.5,14.6,31.9,3.7,1.3,15.0,0.5702479338842975,77.0,4.1,0.3333333333333333,0.4808,0.2913165266106443,6.357938160944276,0.7611940298507462,0.5350140056022409,26.7,0.5310015854487292,1.7839954177796775,-0.30259222038434375,0.22517459369455248,-0.6463795355311541,0.374568731861001,-0.20670931595596745,-0.4622626402688359,-0.5800150874635962,0.3184367748419234,-0.2866666430132347,-0.20327373721987177,-0.12875916931762743,-0.527350448860835,-0.6642251056135993,-0.5536702706864121,-0.2747147425877919,-0.7008088528405507,0.6243344467094634,1.6340271319648556,1.0437853022437662,-0.2893737814195836,0.5310015854487292,-0.43546721078478334,-0.04384695420391746,-0.40746713372504245,0.0803397160507107,-0.20327373721987177,96.78127286027798,23.311387466471594,69.70251158254085,23.603999024628138,53.60887588393075,20.16581321628871,58.034625701048526,42.2457937088515
2026::akiva mcbirney-griffin::uc irvine,2026,Akiva McBirney-Griffin,UC Irvine,BW,32,9.8618,0.0,1.46069,0.55559753,6.0,3.7,13.6,70.9,7.3,1.8,27.0,0.4444444444444444,81.0,6.0,0.4444444444444444,0.5143,0.6363636363636364,7.733666774828125,,0.14545454545454545,16.3,-1.867157207663051,-1.0845910882753569,-0.8565214471297116,-0.7589878922625719,0.6917337785593369,0.1645660838560295,1.5651085595635554,0.4863447093187581,-0.03460513752133058,-1.5632090068326947,-0.9618644207672302,1.0026945757475,-1.3289967233384723,-0.058908213876971566,-0.422711130153106,0.9895727424279681,0.9592958763660496,0.0,-0.9676951808009637,-0.44596208752048505,-0.8308058655210241,-0.009257663062491796,-1.867157207663051,0.5711987147052247,0.3254553965873938,0.07185694851639593,-1.0595727820749927,1.0026945757475,7.120214581809314,43.33089490368203,7.510363326018045,82.93099244086808,67.20312118995368,57.351865398683245,4.87685930260912,82.95537673738113
2026::imanuel zorgvol::youngstown st.,2026,Imanuel Zorgvol,Youngstown St.,Horz,29,14.6656,0.3,1.38595,0.36672001,4.7,14.3,13.1,40.8,9.3,1.4,20.8,0.7415730337078652,84.0,7.7,0.7325581395348837,0.7179,0.7959183673469388,8.396924165017644,1.0,0.10204081632653061,17.3,0.1825511625179578,-1.1014971802347653,-1.0825242387116945,-0.934249704830279,5.124234131484088,0.05956475985354375,0.197628609483103,1.0133487924229774,-0.4709330974751433,-0.5910253529674754,0.6328493989456841,1.907170810473029,-2.4028934821992283,1.1557733954416514,1.0451170908545495,1.703190439372583,1.5542291025369064,0.7888261466527,-1.1451159601251464,-0.24596312410843305,-0.23820363513250473,0.6256685053354469,0.1825511625179578,0.6213728501688263,0.5364567761382606,0.9511591635866558,-0.8692664321698164,1.907170810473029,34.625701048524746,95.61082662765179,45.85466959278225,84.58912460375518,73.66495976591075,95.51328944159961,8.14435503535723,97.72006827603023
2026::zach bloch::northern colorado,2026,Zach Bloch,Northern Colorado,BSky,29,32.5312,0.406,11.4991,2.41928163,10.9,0.1,8.1,19.9,0.6,2.4,12.0,0.8260869565217391,74.0,3.1,0.26666666666666666,0.5172,0.11553784860557768,7.04312719206008,0.935064935064935,0.7848605577689243,15.0,0.9067814533152478,1.186084354409259,1.3734835276653594,-0.09838567566121446,-0.8136436997924654,-0.9904484801713137,-0.7518840468850513,-1.2791189690803755,0.6198868024093881,0.7888482202605779,1.0864426428793719,-1.1077499719454007,0.5029448064828168,-0.8084157898511531,-0.40180395018786913,-1.3398505023654836,0.33989087937463913,0.3837711751995838,1.645393242791283,-0.7059607399561528,0.5221887524441593,-0.029775468556442503,0.9067814533152478,-0.5768439985364602,-1.1347837246258445,0.16226969711859465,0.6879820240882409,-1.1077499719454007,81.63862472567666,41.59960985125579,90.33162643257742,17.434772006827604,6.144842721287491,64.03316264325774,85.97902950499878,14.496464277005607
