player_name,team,conf,GP,min_pct,ORtg,usg,eFG,TS_pct,ORB_pct,DRB_pct,AST_pct,TOV_pct,FTM,FTA,FT_pct,2PM,2PA,2P_pct,3PM,3PA,3P_pct,Blk_pct,Stl_pct,FTR,yr,PORPAG,adjoe,personal_fouls_per_40,type,Rec_Rank,AST_TOV,rimmade,rim_attempts,midmade,mid_attempts,rim_pct,mid_pct,dunksmade,dunks_attempts,dunk_pct,drtg,adj_drtg,D_PORPAG,stops,bpm,obpm,dbpm,gbpm,mins_per_game,ogbpm,dgbpm,oreb_per_game,dreb_per_game,treb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_per_game,role,3P_per_100_team_pos,height_inches,total_known_fga,rim_share,mid_share,three_share,dunk_rate_at_rim,arch_PC1,arch_PC2,arch_PC3,val_PC1
Raysean Seamster,UT Arlington,WAC,30,74.9,101.6,23.1,50.0,51.53,9.3,15.3,15.3,18.6,58,100,0.58,127,242,0.525,14,54,0.259,2.5,2.6,33.8,Sr,1.44361,105.918,3.2,"Portland, OR",,0.93939394,109.0,189.0,18.0,53.0,0.5767,0.3396,17.0,18.0,0.9444,99.2876,100.106,3.52469,169.338,2.99712,-0.246308,3.24343,2.46013,29.6531,0.504586,1.95554,2.4688,3.9688,6.4375,1.9375,1.4375,0.75,12.1875,Wing F,3.56232,80,296.0,0.6385135135135135,0.17905405405405406,0.18243243243243243,0.09523809523809523,1.7020853854069988,1.0128926828665945,0.5340359949535153,1.0052507687151058
Jovan Jester Jr.,UC Irvine,BW,33,38.8,90.9,25.6,49.1,52.81,4.1,13.9,24.6,28.9,48,72,0.667,43,97,0.443,23,61,0.377,1.4,5.2,45.6,Fr,0.239559,96.4764,5.2,"Pasadena, CA",,1.09722427,39.0,71.0,4.0,26.0,0.5493,0.1538,6.0,7.0,0.8571,90.7627,91.4487,2.29172,129.429,2.03683,-2.14668,4.18351,2.42155,15.9771,-2.25572,4.67727,0.5429,2.2857,2.8286,2.2571,1.4857,0.2,6.4571,Scoring PG,6.63096,76,158.0,0.44936708860759494,0.16455696202531644,0.3860759493670886,0.09859154929577464,-0.3700369896057811,3.2649201244194077,0.8478724651355403,0.9104578312293353
Karmani Gregory,USC Upstate,BSth,28,75.4,102.2,26.8,48.8,52.62,1.2,6.4,20.3,16.1,88,119,0.739,99,202,0.49,55,170,0.324,0.7,2.0,32.0,Jr,1.69944,107.719,2.0,"Palmetto, FL",,1.3382721,59.0,108.0,40.0,94.0,0.5463,0.4255,0.0,0.0,,111.532,115.284,2.02946,129.401,-2.57771,0.104602,-2.68231,-0.106282,30.5194,1.36054,-1.46682,0.3548,1.871,2.2258,2.9355,1.0645,0.1935,15.6452,Scoring PG,10.9278,73,372.0,0.2903225806451613,0.25268817204301075,0.45698924731182794,0.0,-2.113368881181721,1.1640376845655638,1.0452911134827423,-0.7230547156318256
Treyson Anderson,North Dakota St.,Sum,31,45.3,115.9,27.2,58.5,60.79,10.8,25.7,8.6,15.9,67,98,0.684,80,132,0.606,36,97,0.371,6.8,1.3,42.8,So,1.89582,122.16,4.0,"Lincoln, NE",,0.55316839,67.0,98.0,13.0,34.0,0.6837,0.3824,13.0,14.0,0.9286,98.9132,101.807,2.02723,121.706,2.78388,0.982495,1.80138,3.87399,18.1882,3.45948,0.414515,1.6765,3.7059,5.3824,0.7647,0.3824,0.9706,10.4412,PF/C,9.98295,81,229.0,0.4279475982532751,0.14847161572052403,0.42358078602620086,0.14285714285714285,2.2903221920700396,-0.8904407157363438,2.9640583853290416,1.6486387410476486
Malachi Palmer,Villanova,BE,32,45.0,116.6,11.4,56.8,58.76,3.3,7.6,5.5,14.4,16,21,0.762,25,37,0.676,25,73,0.342,0.4,2.0,19.1,So,0.99464,107.943,3.5,"Harrisburg, PA",69.2,1.18760002,20.0,26.0,5.0,11.0,0.7692,0.4545,2.0,3.0,0.6667,108.994,103.375,1.91527,85.4487,3.04831,1.21046,1.83785,1.10164,18.2187,-0.659096,1.76074,0.5312,1.1562,1.6875,0.5938,0.5938,0.0625,4.4062,Wing G,7.51179,78,110.0,0.23636363636363636,0.1,0.6636363636363637,0.11538461538461539,-1.7755634232811852,-1.856460649061193,-1.1659901591245345,0.8579054441673621
Andy Stefonowicz,North Dakota St.,Sum,31,81.2,115.3,16.6,52.7,57.37,1.4,9.8,24.3,21.8,54,60,0.9,41,90,0.456,52,136,0.382,0.6,2.8,26.5,So,1.666,106.817,1.6,"Minnetonka, MN",,2.47762104,29.0,49.0,12.0,41.0,0.5918,0.2927,0.0,0.0,,104.406,107.46,2.99272,175.854,1.53164,0.869962,0.661678,1.54941,32.3294,0.183947,1.36547,0.3824,2.7647,3.1471,4.8824,1.6471,0.1471,9.2059,Scoring PG,7.80851,74,226.0,0.2168141592920354,0.18141592920353983,0.6017699115044248,0.0,-2.5803766452622985,1.2900804707639424,-1.3587365077703093,1.4080041670879002
DaMariee Jones,Southern,SWAC,28,57.3,121.1,17.3,57.8,59.84,9.9,19.5,9.7,11.7,55,83,0.663,108,186,0.581,0,1,0.0,3.6,2.0,44.4,Sr,2.04596,115.304,4.6,"Bessemer, AL",,1.46437376,77.0,118.0,31.0,68.0,0.6525,0.4559,13.0,15.0,0.8667,109.188,112.187,1.91972,138.824,1.83022,0.886269,0.943947,0.557599,25.2933,0.719049,-0.16145,2.3667,4.1667,6.5333,1.3667,1.0667,0.8667,9.8667,PF/C,0.0777341,77,187.0,0.6310160427807486,0.36363636363636365,0.0053475935828877,0.1271186440677966,2.9998360420212453,0.33722394790402543,-0.7419467460433962,0.9948969176670827
Florian Tenebay,South Carolina St.,MEAC,29,55.7,92.7,19.8,41.4,50.06,4.3,10.7,17.0,24.2,78,109,0.716,52,124,0.419,7,27,0.259,0.4,2.9,72.2,Sr,-0.223726,89.2279,3.4,"Decatur, GA",,1.0,28.0,56.0,24.0,68.0,0.5,0.3529,0.0,0.0,,114.891,121.001,1.04154,110.672,-5.43764,-3.79056,-1.64708,-5.67586,22.9774,-4.08948,-1.58638,0.871,1.9355,2.8065,1.9032,1.2258,0.0645,7.0,Wing G,2.30318,78,151.0,0.3708609271523179,0.4503311258278146,0.17880794701986755,0.0,0.7303260981078918,1.7364276785859354,-0.39368233304746963,-2.876003193260798
Jerquarius Stanback,Alabama St.,SWAC,31,62.1,104.5,18.5,52.0,55.4,9.6,17.1,5.1,19.0,60,88,0.682,100,181,0.552,3,20,0.15,9.6,2.3,43.8,So,0.765851,100.906,4.5,"Asheboro, NC",,0.45833333,85.0,140.0,15.0,41.0,0.6071,0.3659,28.0,30.0,0.9333,104.269,109.22,2.13944,168.361,1.32196,-3.01004,4.332,-1.20785,24.5906,-2.29668,1.08883,2.2812,3.5625,5.8438,0.6875,1.0625,2.0312,8.75,C,1.46157,82,201.0,0.6965174129353234,0.20398009950248755,0.09950248756218906,0.21428571428571427,3.9250165239159696,-0.7183046167808808,0.12235319593031799,0.12176119022902503
Elijah Malone,Colorado,B12,29,31.3,107.8,17.7,52.4,55.0,9.6,15.8,9.6,18.3,17,22,0.773,49,91,0.538,4,14,0.286,2.6,1.7,21.0,Sr,0.833445,109.411,6.5,"Lagrange, IN",,0.95649981,35.0,65.0,14.0,26.0,0.5385,0.5385,2.0,4.0,0.5,111.617,105.665,1.35962,72.4965,1.61143,0.0606446,1.55078,-0.804998,13.9345,-1.7064,0.901407,1.1379,1.8966,3.0345,0.7586,0.4138,0.3448,4.3793,PF/C,1.98328,82,105.0,0.6190476190476191,0.24761904761904763,0.13333333333333333,0.06153846153846154,1.9636284921843241,-0.4822915673805116,-0.28711433777902107,-0.30304746146264167
