Unnamed: 0,Player Name,Team,Conference,Position,Height,Year,GP,GS,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,SPG,DRBPG,ORBPG,BPG,TOPG,eFG,three_share,AST_TOV,FTR,TS_pct,usg,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,PC1,PC2,PC3,PC4
800,"Jamestown, Tajaun",Adams State,Rocky Mountain,G,75,R.,29,0,408,14.1,24,63,0.381,12,43,0.279,5,8,0.625,65,2.2,17,31,48,1.7,47,26,33,11,9,0.896551724137931,0.3793103448275862,1.0689655172413792,0.5862068965517241,0.3103448275862069,1.137931034482759,0.4761904761904761,0.6825396825396826,0.7878787878787878,0.1269841269841269,0.4885748647023452,0.2439215686274509,6.372549019607843,4.705882352941177,2.549019607843137,1.0784313725490198,0.8823529411764707,3.235294117647059,-1.7471045781095829,-1.237402849776132,-1.5358050636623448,-0.8499369063587191
804,"Pastorcic-Straun, Markus",Colorado Mines,Rocky Mountain,G,75,Jr.,15,14,450,30.0,98,183,0.536,17,36,0.472,89,137,0.65,302,20.1,17,47,64,4.3,31,50,33,13,2,3.3333333333333335,0.8666666666666667,3.1333333333333333,1.1333333333333333,0.1333333333333333,2.2,0.5819672131147541,0.1967213114754098,1.5151515151515151,0.7486338797814208,0.6206839855310753,0.6139555555555555,26.844444444444445,5.688888888888889,4.444444444444445,1.1555555555555554,0.1777777777777777,2.9333333333333336,1.5572283815868584,2.800387943884391,1.5074189712331274,-0.8916624790703847
805,"Romack, Alex",Colorado Mines,Rocky Mountain,F,78,Jr.,32,32,956,29.9,174,308,0.565,3,13,0.231,120,179,0.67,471,14.7,112,169,281,8.8,63,64,64,34,34,2.0,1.0625,5.28125,3.5,1.0625,2.0,0.5698051948051948,0.0422077922077922,1.0,0.5811688311688312,0.6089047471300031,0.4715062761506276,19.707112970711297,11.757322175732217,2.6778242677824267,1.4225941422594144,1.4225941422594144,2.6778242677824267,4.507722743490025,1.3942302960538204,0.40895831047504944,1.228169287627585
806,"Moore, Jonathan",Colorado Mines,Rocky Mountain,F,79,Jr.,26,26,682,26.2,109,223,0.489,47,107,0.439,68,76,0.895,333,12.8,31,121,152,5.8,52,43,49,14,41,1.6538461538461535,0.5384615384615384,4.653846153846154,1.1923076923076923,1.5769230769230769,1.8846153846153848,0.594170403587444,0.4798206278026906,0.8775510204081632,0.3408071748878923,0.6492746841366401,0.4478592375366569,19.530791788856305,8.914956011730204,2.5219941348973607,0.8211143695014662,2.404692082111437,2.873900293255132,2.579325505251607,-0.3709926662973731,1.3930027021568254,-0.010587282853527332
807,"Henton, Shelton",Colorado Mines,Rocky Mountain,G,77,Fr.,32,23,761,23.8,109,256,0.426,82,190,0.432,39,49,0.796,339,10.6,22,53,75,2.3,51,71,34,20,6,2.21875,0.625,1.65625,0.6875,0.1875,1.0625,0.5859375,0.7421875,2.088235294117647,0.19140625,0.6106787721573713,0.4094086727989487,17.818659658344284,3.942181340341655,3.731931668856767,1.0512483574244416,0.3153745072273324,1.7871222076215507,-1.6613460619330753,-0.1385173240265572,1.9258137858662097,0.6710308899210682
808,"Johnson, Kellon",Colorado Mines,Rocky Mountain,G/F,77,Fr.,32,28,867,27.1,90,197,0.457,30,100,0.3,29,46,0.63,239,7.5,24,49,73,2.3,51,57,40,23,6,1.78125,0.71875,1.53125,0.75,0.1875,1.25,0.5329949238578681,0.5076142131979695,1.425,0.233502538071066,0.5500828576689376,0.2967012687427912,11.02652825836217,3.3679354094579006,2.629757785467128,1.061130334486736,0.2768166089965398,1.845444059976932,-1.2700748395608152,-0.9135399439903653,-0.06704281261881774,0.35735150111823255
809,"Minter, Trent",Colorado Mines,Rocky Mountain,G,79,Fr.,32,26,713,22.3,69,149,0.463,8,35,0.229,39,51,0.765,185,5.8,35,105,140,4.4,68,104,63,33,13,3.25,1.03125,3.28125,1.09375,0.40625,1.96875,0.4899328859060403,0.2348993288590604,1.6507936507936507,0.3422818791946309,0.5395473635090994,0.3288078541374474,10.378681626928472,7.854137447405329,5.834502103786816,1.8513323983169705,0.729312762973352,3.534361851332398,0.10966446861909923,2.1518620664258705,-1.2690239973845197,0.8870650057695773
810,"Lehman, Kasen",Colorado Mines,Rocky Mountain,G,77,Fr.,17,0,273,16.1,35,91,0.385,21,67,0.313,7,13,0.538,98,5.8,5,20,25,1.5,19,13,12,11,2,0.7647058823529411,0.6470588235294118,1.1764705882352942,0.2941176470588235,0.1176470588235294,0.7058823529411765,0.5,0.7362637362637363,1.0833333333333333,0.1428571428571428,0.5066170388751033,0.3982417582417582,14.35897435897436,3.663003663003663,1.9047619047619049,1.6117216117216118,0.293040293040293,1.7582417582417584,-2.044034584171719,-1.3684265585620086,0.2239620377638808,-0.3951631426700209
812,"Mroczek, Cooper",Colorado Mines,Rocky Mountain,F,80,Fr.,30,3,335,11.2,41,101,0.406,18,54,0.333,38,53,0.717,138,4.6,16,42,58,1.9,42,25,29,9,5,0.8333333333333334,0.3,1.4,0.5333333333333333,0.1666666666666666,0.9666666666666668,0.495049504950495,0.5346534653465347,0.8620689655172413,0.5247524752475248,0.5550193050193051,0.4576716417910447,16.477611940298505,6.925373134328359,2.9850746268656714,1.0746268656716418,0.5970149253731343,3.4626865671641793,0.20910034269269404,0.20196596515072665,-0.3968569092569698,-1.5505826261990476
813,"Cordonnier, Will",Colorado Mines,Rocky Mountain,F,78,R.,31,2,405,13.1,50,142,0.352,23,75,0.307,21,30,0.7,144,4.6,25,48,73,2.4,19,36,21,19,11,1.1612903225806452,0.6129032258064516,1.5483870967741935,0.8064516129032258,0.3548387096774194,0.6774193548387096,0.4330985915492957,0.528169014084507,1.7142857142857142,0.2112676056338028,0.4639175257731959,0.4350617283950617,14.222222222222223,7.209876543209877,3.555555555555556,1.876543209876543,1.0864197530864197,2.074074074074074,-1.293023449479941,-0.03455347994451102,-0.7328317856502057,0.9265386604701613
814,"Jacob, Braydon",Colorado Mines,Rocky Mountain,G,74,R.,32,3,553,17.3,44,131,0.336,29,90,0.322,16,20,0.8,133,4.2,14,31,45,1.4,61,46,29,19,3,1.4375,0.59375,0.96875,0.4375,0.09375,0.90625,0.4465648854961832,0.6870229007633588,1.5862068965517242,0.1526717557251908,0.4756795422031473,0.3052441229656419,9.620253164556962,3.2549728752260396,3.3273056057866186,1.3743218806509947,0.2169981916817359,2.097649186256781,-2.8484096802732486,-0.554372190280605,-0.6524302959819027,0.22052719093148937
