player_name,team,conf,GP,min_pct,ORtg,usg,eFG,TS_pct,ORB_pct,DRB_pct,AST_pct,TOV_pct,FTM,FTA,FT_pct,2PM,2PA,2P_pct,3PM,3PA,3P_pct,Blk_pct,Stl_pct,FTR,yr,PORPAG,adjoe,personal_fouls_per_40,type,Rec_Rank,AST_TOV,rimmade,rim_attempts,midmade,mid_attempts,rim_pct,mid_pct,dunksmade,dunks_attempts,dunk_pct,drtg,adj_drtg,D_PORPAG,stops,bpm,obpm,dbpm,gbpm,mins_per_game,ogbpm,dgbpm,oreb_per_game,dreb_per_game,treb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_per_game,role,3P_per_100_team_pos,height_inches,total_known_fga,rim_share,mid_share,three_share,dunk_rate_at_rim,arch_PC1,arch_PC2,arch_PC3,val_PC1,pbp_join_method,pbp_join_warning,pbp_pid,pbp_player_name,pbp_team,pbp_rim_made,pbp_rim_missed,pbp_rim_assisted,pbp_mid_made,pbp_mid_missed,pbp_mid_assisted,pbp_three_made,pbp_three_missed,pbp_three_assisted,pbp_dunk_made,pbp_dunk_missed,pbp_dunk_assisted
Mostapha El Moutaouakkil,Jacksonville St.,CUSA,29,75.6,98.1,35.2,47.8,52.71,5.2,21.8,10.3,16.7,165,249,0.663,146,313,0.466,34,99,0.343,1.2,1.8,60.4,Sr,2.15135,112.859,3.6,"Rabat, Morocco",,0.45652174,127.0,259.0,19.0,54.0,0.4903,0.3519,3.0,3.0,1.0,104.253,105.336,3.04807,167.594,-3.90307,-2.4319,-1.47117,-1.16601,29.9469,0.0652955,-1.23131,1.375,5.8438,7.2188,1.3125,0.8125,0.375,19.5312,Wing F,6.76607,78,412.0,0.6286407766990292,0.13106796116504854,0.24029126213592233,0.011583011583011582,2.824280166200083,-0.30540070513930534,0.1038416434647859,-0.6262138621381409,pid,,127888.0,Mostapha El Moutaouakkil,Jacksonville St.,127,132,38,19,35,5,34,65,32,3,0,1
Michael Mouton,Louisiana,SB,6,1.1,81.8,14.8,25.0,25.0,0.0,9.2,28.3,0.0,0,0,0.0,1,4,0.25,0,0,0.0,8.5,0.0,0.0,Fr,-0.127378,77.073,8.3,"Lafayette, LA",,1.99979997,0.0,2.0,1.0,2.0,0.0,0.5,0.0,0.0,,112.691,108.992,0.211331,2.03978,-8.64534,-7.84305,-0.802286,-6.77754,2.4,-5.86002,-0.91752,0.0,0.1667,0.1667,0.3333,0.0,0.1667,0.3333,PF/C,0.0,76,4.0,0.5,0.5,0.0,0.0,-1.118012269364637,0.784957322585428,-2.2317370476039153,1.6719384201961807,pid,,127889.0,Michael Mouton,Louisiana,0,2,0,1,1,0,0,0,0,0,0,0
Tajae Jones,Siena,MAAC,3,1.0,69.2,20.4,40.0,40.0,0.0,16.9,0.0,22.0,0,0,0.0,2,3,0.667,0,2,0.0,0.0,4.5,0.0,So,-0.396469,67.7085,8.6,"Waterbury, CT",,0.0,2.0,3.0,0.0,0.0,0.6667,,0.0,0.0,,95.6645,103.943,0.489167,3.07262,-12.0094,-9.7411,-2.26825,-10.5534,4.6333,-11.0675,0.514126,0.0,0.6667,0.6667,0.0,0.3333,0.0,1.3333,Wing F,8.8842,80,5.0,0.6,0.0,0.4,0.0,-0.9124609630343254,1.6977530228857363,0.982119650865877,-0.42252423847001336,pid,,127892.0,Tajae Jones,Siena,2,1,1,0,0,0,0,2,0,0,0,0
Gavin Doty,Siena,MAAC,35,91.6,122.0,23.4,50.8,56.98,5.0,17.4,13.1,7.3,157,183,0.858,167,324,0.515,46,141,0.326,0.2,2.1,39.4,So,4.05457,124.265,1.6,"Fulton, NY",,2.22860003,80.0,136.0,87.0,188.0,0.5882,0.4628,3.0,3.0,1.0,101.405,106.702,3.51678,231.438,3.02418,3.04497,-0.0207841,4.7933,36.7629,4.14989,0.643406,1.4571,5.4571,6.9143,2.2286,1.2571,0.0571,17.9714,Wing G,6.83773,77,465.0,0.2924731182795699,0.4043010752688172,0.3032258064516129,0.022058823529411766,2.179449010934529,-1.489420533707725,0.4247602654531936,1.0633117189622163,pid,,127893.0,Gavin Doty,Siena,80,56,35,87,101,13,46,95,44,3,0,1
Major Freeman,Charlotte,Amer,28,35.7,107.4,20.3,50.3,52.38,2.3,11.3,15.4,15.4,25,38,0.658,30,64,0.469,30,85,0.353,0.2,1.8,25.5,Sr,0.916634,108.128,2.3,"Atlanta, GA",,1.50005828,19.0,30.0,11.0,34.0,0.6333,0.3235,0.0,0.0,,114.766,114.931,1.13053,70.8395,-1.84283,0.44289,-2.28572,-1.04763,17.1357,0.283705,-1.33134,0.3214,1.6429,1.9643,1.2857,0.5,0.0357,6.25,Combo G,11.025,75,149.0,0.20134228187919462,0.22818791946308725,0.5704697986577181,0.0,-0.7111000386002797,-0.7181967882904718,0.6320082318399678,0.5881289023132691,pid,,127894.0,Major Freeman,Charlotte,19,11,4,11,23,1,30,55,23,0,0,0
Jalen Shelley,Loyola Marymount,WCC,24,60.9,102.9,24.5,50.2,54.29,3.9,19.8,16.6,17.5,79,113,0.699,91,168,0.542,24,85,0.282,2.1,1.3,44.7,So,1.7948,108.857,3.1,"Little Elm, TX",88.0,1.19298248,74.0,117.0,17.0,51.0,0.6325,0.3333,11.0,12.0,0.9167,104.408,103.599,3.34909,143.025,0.662855,-0.715783,1.37864,1.38103,31.108,0.213092,1.16794,1.08,5.56,6.64,2.72,0.68,0.64,13.68,Wing F,6.51211,80,253.0,0.4624505928853755,0.2015810276679842,0.3359683794466403,0.10256410256410256,2.304004915021449,-0.5248909106487814,-0.23257198710816349,0.6376634401518311,pid,,127896.0,Jalen Shelley,Loyola Marymount,74,43,24,17,34,5,24,61,19,11,1,7
Jonah Goorin,USC,B10,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,So,-0.270991,-5.25127,0.0,"San Francisco, CA",,0.0,,,,,,,,,,120.327,126.28,0.0224512,0.0695524,-3.0602,-2.61426,-0.445945,-9.90199,1.6,-6.35035,-3.55164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PF/C,0.0,75,0.0,0.0,0.0,0.0,0.0,-2.472238514409204,3.4257457093857764,-0.6820013478366237,0.5586208451548001,unmatched,no_pbp_match,,,,0,0,0,0,0,0,0,0,0,0,0,0
Zach Tow,Kentucky,SEC,7,0.6,168.2,9.1,150.0,102.56,0.0,0.0,0.0,0.0,1,2,0.5,0,0,0.0,1,1,1.0,0.0,0.0,200.0,Sr,0.18709,137.84,4.8,"Madisonville, KY",,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,118.385,124.119,0.042171,0.721941,4.1368,6.46946,-2.33266,3.99095,1.1857,3.37327,0.617675,0.0,0.0,0.0,0.0,0.0,0.0,0.5714,Scoring PG,6.59826,77,1.0,0.0,0.0,1.0,0.0,0.629301718689495,0.7422822730976506,4.3483443672744695,2.6465611019036404,pid,,127899.0,Zach Tow,Kentucky,0,0,0,0,0,0,1,0,1,0,0,0
Robert Hinton,Harvard,Ivy,28,82.8,110.3,26.6,52.9,56.78,3.8,14.3,15.1,13.1,82,99,0.828,160,291,0.55,25,82,0.305,0.6,2.6,26.5,So,2.74395,116.231,2.5,"Los Angeles, CA",81.4,1.19229274,89.0,138.0,71.0,153.0,0.6449,0.4641,12.0,15.0,0.8,104.328,105.986,3.26363,157.458,-0.202753,-0.191109,-0.0116439,1.16735,33.5276,0.663675,0.503676,0.931,3.8966,4.8276,2.1379,1.3793,0.1724,16.7586,Wing G,5.49424,77,373.0,0.3699731903485255,0.4101876675603217,0.21983914209115282,0.10869565217391304,1.368759087617895,-0.7151642164091075,0.1688549327070746,-0.06607775135444148,pid,,127900.0,Robert Hinton,Harvard,89,49,40,71,82,20,25,57,22,12,3,4
Ben Eisendrath,Harvard,Ivy,28,71.8,93.4,15.5,45.2,51.55,2.1,7.2,20.0,30.4,35,39,0.897,48,84,0.571,6,42,0.143,2.2,3.4,31.0,So,-0.65329,85.8117,3.0,"Los Angeles, CA",,1.49178366,41.0,65.0,7.0,19.0,0.6308,0.3684,0.0,0.0,,104.308,105.965,2.83013,136.564,-1.92442,-3.88896,1.96454,-2.48177,29.1,-4.76966,2.28789,0.4643,1.7143,2.1786,3.25,1.5714,0.5357,5.3214,Scoring PG,3.24526,74,126.0,0.5158730158730159,0.15079365079365079,0.3333333333333333,0.0,-0.6246039483202348,-0.7781312258162048,-1.0455550151437891,0.8195913231946701,pid,,127901.0,Ben Eisendrath,Harvard,41,24,14,7,12,0,6,36,4,0,0,0
