observationKey,season,playerId,playerName,teamName,conference,minutes,bartRole,pbpPlayerId,pbpMatchType,ht_inches,usg_%,TS_%,ORB_%,DRB_%,AST_%,FT_%,FT_rate,TP_%,ast_tov,TOV%,rim_pct_of_total_attempts,rim_%,mid_pct_of_total_attempts,mid_%,threePA_per_100,pct_rim_made_assisted,pct_three_made_assisted,pct_total_made_assisted,blk_%,stl_%,pf_per_40,stops_per_40,A0,A1,A2,A3,A4,A5,A6,A7,primaryArchetype,primaryArchetypeLabel,primaryArchetypeWeight,secondaryArchetype,secondaryArchetypeLabel,secondaryArchetypeWeight,unstableArchetypeFlag,stabilityTier,stabilityNote
74574::2026::Grambling St.,2026,74574,PJ Edwards,Grambling St.,SWAC,97.5,Stretch 4,74574,pid_team,76,9.2,15.38,1.5,11.6,6.6,0.0,0,0.0,0.80005597,22.8,30.76923076923077,50.0,7.6923076923076925,0.0,5.55459,100.0,0.0,100.0,1.4,1.4,7.3,5.534317948717948,0.0,0.0,0.869557,0.0,0.0,0.0,0.0,0.130443,A2,Low-Production Player,0.869557,A7,Traditional Big,0.130443,True,unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
134906::2026::Grambling St.,2026,134906,Richard Amaefule,Grambling St.,SWAC,106.4141,C,134906,pid_team,81,14,41.01,2.6,9,0,83.3,46.2,0.0,0.09995801,44.3,53.84615384615385,42.86,38.46153846153847,20.0,0.620263,66.66666666666666,0.0,75.0,1.2,1.2,6,5.277796833314382,0.0,0.0,0.392615,0.0,0.0,0.0,0.0,0.607385,A7,Traditional Big,0.607385,A2,Low-Production Player,0.392615,True,borderline_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
78754::2026::Grambling St.,2026,78754,Saliou Seye,Grambling St.,SWAC,109.0005,C,78754,pid_team,84,19.6,44.74,8.8,14.3,3.9,23.1,54.2,0.0,0.18178101,29.7,65.38461538461539,70.59,11.538461538461538,0.0,2.11453,41.66666666666667,0.0,46.15384615384615,6.1,2.1,11.7,8.237099829817295,0.0,0.0,0.174027,0.33488,0.0,0.0,0.0,0.491093,A7,Traditional Big,0.491093,A3,Two-Way Guard,0.33488,True,borderline_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
134801::2026::Grand Canyon,2026,134801,Cole Pepe,Grand Canyon,MWC,10.1,Stretch 4,134801,pid_team,76,13.8,50,12.1,22.9,0,0.0,0,33.300000000000004,0.00000000,0,0.0,0.0,0.0,0.0,16.9091,0.0,100.0,100.0,0,0,7.9,6.763485148514851,0.431869,0.0,0.01491,0.0,0.0,0.0,0.145901,0.40732,A0,Perimeter Spacer,0.431869,A7,Traditional Big,0.40732,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
134805::2026::Grand Canyon,2026,134805,Evan Boisdur,Grand Canyon,MWC,72.6,Combo G,134805,pid_team,73,17.4,37.12,0,8,9.8,75.0,19,16.7,1.00000000,18.4,42.857142857142854,44.440000000000005,0.0,0.0,9.66234,25.0,100.0,50.0,0,3.2,5,7.1888154269972455,0.617675,0.0,0.124541,0.0,0.0,0.257784,0.0,0.0,A0,Perimeter Spacer,0.617675,A5,Efficient Play Finisher,0.257784,True,unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
127447::2026::Green Bay,2026,127447,Brady Fitzgerald,Green Bay,Horz,3.78,PF/C,127447,pid_team,76,32.5,52.63,0,144.7,0,50.0,0,0.0,0.00000000,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,8.56515343915344,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A6,Two-Way Forward,1.0,A0,Perimeter Spacer,0.0,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
133662::2026::Green Bay,2026,133662,Dontrell Hewlett,Green Bay,Horz,34.275,Combo G,133662,pid_team,76,32.8,38.58,4.4,11.7,25.7,66.7,42.9,16.7,2.00000000,11.9,42.857142857142854,50.0,14.285714285714285,0.0,11.8221,0.0,100.0,25.0,4,2,6.3,6.161692195477753,0.586984,0.29153,0.091035,0.0,0.0,0.030451,0.0,0.0,A0,Perimeter Spacer,0.586984,A1,Connecting Guard,0.29153,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
135187::2026::Green Bay,2026,135187,Josh Hines,Green Bay,Horz,39.7145,Combo G,135187,pid_team,74,15.4,63.93,0,13,22.9,0.0,20,33.300000000000004,4.28550005,0,20.0,100.0,20.0,100.0,9.85179,0.0,100.0,33.33333333333333,0,0,6.3,2.377922421281899,0.0,0.0,0.0,0.0,0.506921,0.206869,0.153985,0.132226,A4,Scoring Playmaker,0.506921,A5,Efficient Play Finisher,0.206869,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
134904::2026::Green Bay,2026,134904,Rob Stroud,Green Bay,Horz,62.3337,Wing F,134904,pid_team,77,33,53.39,2.4,13,4.5,71.39999999999999,50,20.0,0.24992500,9.8,46.666666666666664,64.29,30.0,33.33,5.47322,22.22222222222222,100.0,28.57142857142857,0,0,7.7,4.59253982997961,0.36052,0.0,0.0,0.0,0.63948,0.0,0.0,0.0,A4,Scoring Playmaker,0.63948,A0,Perimeter Spacer,0.36052,True,unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
127956::2026::Hampton,2026,127956,Hamza Asadallah,Hampton,CAA,21.8554,Wing G,127956,pid_team,73,6.9,75,13.4,7.7,0,0.0,0,50.0,1.55540005,0,0.0,0.0,0.0,0.0,7.68151,0.0,100.0,100.0,0,0,0,3.0566724928392985,0.726036,0.0,0.176168,0.0,0.0,0.050056,0.0,0.047741,A0,Perimeter Spacer,0.726036,A2,Low-Production Player,0.176168,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
